Question,SQL Query
Show the top 3 most expensive products in the database.,"SELECT productName, buyPrice FROM products ORDER BY buyPrice DESC LIMIT 3;"
Find the total revenue generated by each product.,"SELECT productCode, SUM(quantityOrdered * priceEach) AS totalRevenue FROM orderdetails GROUP BY productCode;"
Display the product lines that do not have any associated products.,SELECT productLine FROM productlines WHERE productLine NOT IN (SELECT DISTINCT productLine FROM products);
Get the total number of employees who report directly to employee number 1002.,SELECT COUNT(employeeNumber) AS numReports FROM employees WHERE reportsTo = 1002;
Show all orders that were shipped after the required date.,"SELECT orderNumber, shippedDate, requiredDate FROM orders WHERE shippedDate > requiredDate;"
Find the total amount of payments received in the month of June 2024.,SELECT SUM(amount) AS totalPayments FROM payments WHERE MONTH(paymentDate) = 6 AND YEAR(paymentDate) = 2024;
List all products ordered in order number 10123.,SELECT p.productName FROM products p JOIN orderdetails o ON p.productCode = o.productCode WHERE o.orderNumber = 10123;
Display the cities where the offices are located.,SELECT DISTINCT city FROM offices;
Find the employee who has the most subordinates.,"SELECT e.firstName, e.lastName FROM employees e WHERE e.employeeNumber IN (SELECT reportsTo FROM employees GROUP BY reportsTo ORDER BY COUNT(employeeNumber) DESC LIMIT 1);"
List all customers whose last name is 'Johnson'.,SELECT customerName FROM customers WHERE contactLastName = 'Johnson';
Show the details of the products that are ordered more than 500 units in total.,"SELECT p.productName, SUM(o.quantityOrdered) AS totalOrdered FROM products p JOIN orderdetails o ON p.productCode = o.productCode GROUP BY p.productCode HAVING totalOrdered > 500;"
Find the average number of products in stock for each product line.,"SELECT productLine, AVG(quantityInStock) AS avgStock FROM products GROUP BY productLine;"
Get the names of employees who have an email ending with 'classicmodelcars.com'.,"SELECT firstName, lastName FROM employees WHERE email LIKE '%classicmodelcars.com';"
Show the details of the office with the highest number of employees.,SELECT o.* FROM offices o JOIN employees e ON o.officeCode = e.officeCode GROUP BY o.officeCode ORDER BY COUNT(e.employeeNumber) DESC LIMIT 1;
Find the customers who have a phone number that starts with '(212)'.,SELECT customerName FROM customers WHERE phone LIKE '(212)%';
Display the product name and price of all products with an MSRP above $100.,"SELECT productName, MSRP FROM products WHERE MSRP > 100;"
Find the employee with the longest tenure at the company.,"SELECT firstName, lastName FROM employees ORDER BY hireDate ASC LIMIT 1;"
List all customers in 'New York' who have placed at least one order.,SELECT c.customerName FROM customers c WHERE c.city = 'New York' AND c.customerNumber IN (SELECT customerNumber FROM orders);
Show all orders that have no comments associated with them.,SELECT orderNumber FROM orders WHERE comments IS NULL;
Find the total quantity of products ordered by customer number 119.,SELECT SUM(quantityOrdered) AS totalQuantity FROM orderdetails WHERE orderNumber IN (SELECT orderNumber FROM orders WHERE customerNumber = 119);
List all employees who have 'Manager' in their job title.,"SELECT firstName, lastName FROM employees WHERE jobTitle LIKE '%Manager%';"
Show the details of the products with the lowest quantity in stock.,SELECT * FROM products ORDER BY quantityInStock ASC LIMIT 1;
Find the average payment amount for each customer.,"SELECT customerNumber, AVG(amount) AS avgPayment FROM payments GROUP BY customerNumber;"
Display the names of employees who work in the same office as employee number 1370.,"SELECT firstName, lastName FROM employees WHERE officeCode = (SELECT officeCode FROM employees WHERE employeeNumber = 1370);"
Show all customers who have not been assigned a sales representative.,SELECT customerName FROM customers WHERE salesRepEmployeeNumber IS NULL;
Find the product line with the highest average product price.,"SELECT productLine, AVG(buyPrice) AS avgPrice FROM products GROUP BY productLine ORDER BY avgPrice DESC LIMIT 1;"
List the orders that were made by customers from 'Canada'.,SELECT o.orderNumber FROM orders o JOIN customers c ON o.customerNumber = c.customerNumber WHERE c.country = 'Canada';
Get the names of all products with 'Car' in the name.,SELECT productName FROM products WHERE productName LIKE '%Car%';
Find the employees who report to employee number 1102.,"SELECT firstName, lastName FROM employees WHERE reportsTo = 1102;"
Show the total revenue generated by each product line.,"SELECT p.productLine, SUM(o.quantityOrdered * o.priceEach) AS totalRevenue FROM products p JOIN orderdetails o ON p.productCode = o.productCode GROUP BY p.productLine;"
List the names of customers who placed orders in the year 2023.,SELECT DISTINCT c.customerName FROM customers c JOIN orders o ON c.customerNumber = o.customerNumber WHERE YEAR(o.orderDate) = 2023;
Display the average credit limit of customers from each country.,"SELECT country, AVG(creditLimit) AS avgCreditLimit FROM customers GROUP BY country;"
Find the employee who reports to the fewest number of people.,"SELECT firstName, lastName FROM employees WHERE reportsTo IS NOT NULL ORDER BY employeeNumber ASC LIMIT 1;"
Show all products that are in the 'Trains' product line and have less than 50 units in stock.,SELECT productName FROM products WHERE productLine = 'Trains' AND quantityInStock < 50;
Find the orders that were placed in the month of December.,SELECT * FROM orders WHERE MONTH(orderDate) = 12;
List the employees who have been with the company for more than 10 years.,"SELECT firstName, lastName FROM employees WHERE YEAR(CURDATE()) - YEAR(hireDate) > 10;"
Show the details of all customers in 'California'.,SELECT * FROM customers WHERE state = 'California';
Get the names of the products that have not been ordered in the past year.,SELECT productName FROM products WHERE productCode NOT IN (SELECT productCode FROM orderdetails WHERE YEAR(orderDate) = YEAR(CURDATE()) - 1);
Find the employee who manages the largest number of employees.,"SELECT firstName, lastName FROM employees WHERE employeeNumber IN (SELECT reportsTo FROM employees GROUP BY reportsTo ORDER BY COUNT(employeeNumber) DESC LIMIT 1);"
Display the names of customers whose credit limit is below the average credit limit.,SELECT customerName FROM customers WHERE creditLimit < (SELECT AVG(creditLimit) FROM customers);
List the details of the highest-paying customer.,SELECT * FROM customers WHERE customerNumber = (SELECT customerNumber FROM payments GROUP BY customerNumber ORDER BY SUM(amount) DESC LIMIT 1);
Show all orders that have been shipped but not yet paid for.,SELECT o.orderNumber FROM orders o WHERE o.shippedDate IS NOT NULL AND o.orderNumber NOT IN (SELECT DISTINCT orderNumber FROM payments);
Find the total amount of payments received from each customer in 'Germany'.,"SELECT customerNumber, SUM(amount) AS totalPayments FROM payments WHERE customerNumber IN (SELECT customerNumber FROM customers WHERE country = 'Germany') GROUP BY customerNumber;"
List the names of employees who have not handled any sales.,"SELECT firstName, lastName FROM employees WHERE employeeNumber NOT IN (SELECT DISTINCT salesRepEmployeeNumber FROM customers);"
Display the details of all orders that were placed before '2024-01-01'.,SELECT * FROM orders WHERE orderDate < '2024-01-01';
Find the product with the highest markup (difference between MSRP and buy price).,"SELECT productName, MSRP - buyPrice AS markup FROM products ORDER BY markup DESC LIMIT 1;"
List the offices that have not been assigned any employees.,SELECT * FROM offices WHERE officeCode NOT IN (SELECT DISTINCT officeCode FROM employees);
"Show the details of all customers who have placed orders with a total value greater than $10,000.",SELECT c.* FROM customers c WHERE c.customerNumber IN (SELECT customerNumber FROM orders o JOIN orderdetails od ON o.orderNumber = od.orderNumber GROUP BY o.customerNumber HAVING SUM(od.quantityOrdered * od.priceEach) > 10000);
Find the products that are sold at a price lower than the average price.,SELECT productName FROM products WHERE buyPrice < (SELECT AVG(buyPrice) FROM products);
Display the employees who are 'Sales Reps' and work in the 'Boston' office.,"SELECT firstName, lastName FROM employees WHERE jobTitle = 'Sales Rep' AND officeCode = (SELECT officeCode FROM offices WHERE city = 'Boston');"
Get the total number of products sold in each country.,"SELECT c.country, SUM(od.quantityOrdered) AS totalSold FROM customers c JOIN orders o ON c.customerNumber = o.customerNumber JOIN orderdetails od ON o.orderNumber = od.orderNumber GROUP BY c.country;"
Find the product lines that have an average product price above $100.,"SELECT productLine, AVG(buyPrice) AS avgPrice FROM products GROUP BY productLine HAVING avgPrice > 100;"
List the employees who have more than 5 years of tenure and are 'Sales Reps'.,"SELECT firstName, lastName FROM employees WHERE jobTitle = 'Sales Rep' AND YEAR(CURDATE()) - YEAR(hireDate) > 5;"
Show all customers who have made payments but have not placed any orders.,SELECT c.customerName FROM customers c WHERE c.customerNumber IN (SELECT DISTINCT p.customerNumber FROM payments p) AND c.customerNumber NOT IN (SELECT DISTINCT o.customerNumber FROM orders o);
What is the total number of products in each product line?,"SELECT productLine, COUNT(*) AS total_products FROM products GROUP BY productLine;"
What is the average quantity in stock for each product line?,"SELECT productLine, AVG(quantityInStock) AS avg_quantity FROM products GROUP BY productLine;"
What is the total value of all products in stock for each product line?,"SELECT productLine, SUM(quantityInStock * buyPrice) AS total_value FROM products GROUP BY productLine;"
What is the average MSRP for products in each product line?,"SELECT productLine, AVG(MSRP) AS avg_msrp FROM products GROUP BY productLine;"
How many customers are assigned to each sales representative?,"SELECT salesRepEmployeeNumber, COUNT(*) AS total_customers FROM customers GROUP BY salesRepEmployeeNumber;"
What is the total amount of payments received from each customer?,"SELECT customerNumber, SUM(amount) AS total_payments FROM payments GROUP BY customerNumber;"
What is the average payment amount for each customer?,"SELECT customerNumber, AVG(amount) AS avg_payment FROM payments GROUP BY customerNumber;"
What is the total number of orders placed by each customer?,"SELECT customerNumber, COUNT(*) AS total_orders FROM orders GROUP BY customerNumber;"
What is the average order value for each customer?,"SELECT customerNumber, AVG(total_value) AS avg_order_value FROM (SELECT customerNumber, SUM(quantityOrdered * priceEach) AS total_value FROM orders o JOIN orderdetails od ON o.orderNumber = od.orderNumber GROUP BY o.orderNumber) AS order_values GROUP BY customerNumber;"
What is the total value of orders placed by each customer?,"SELECT customerNumber, SUM(quantityOrdered * priceEach) AS total_order_value FROM orders o JOIN orderdetails od ON o.orderNumber = od.orderNumber GROUP BY customerNumber;"
What is the total number of orders for each product?,"SELECT productCode, COUNT(*) AS total_orders FROM orderdetails GROUP BY productCode;"
What is the total quantity ordered for each product?,"SELECT productCode, SUM(quantityOrdered) AS total_quantity FROM orderdetails GROUP BY productCode;"
What is the average order quantity for each product?,"SELECT productCode, AVG(quantityOrdered) AS avg_quantity FROM orderdetails GROUP BY productCode;"
What is the total revenue generated by each product?,"SELECT productCode, SUM(quantityOrdered * priceEach) AS total_revenue FROM orderdetails GROUP BY productCode;"
What is the total revenue generated by each product line?,"SELECT p.productLine, SUM(od.quantityOrdered * od.priceEach) AS total_revenue FROM products p JOIN orderdetails od ON p.productCode = od.productCode GROUP BY p.productLine;"
What is the average revenue generated per order?,SELECT AVG(total_revenue) AS avg_revenue FROM (SELECT SUM(quantityOrdered * priceEach) AS total_revenue FROM orderdetails GROUP BY orderNumber) AS order_revenues;
What is the total revenue generated by each office?,"SELECT o.officeCode, SUM(od.quantityOrdered * od.priceEach) AS total_revenue FROM offices o JOIN employees e ON o.officeCode = e.officeCode JOIN customers c ON e.employeeNumber = c.salesRepEmployeeNumber JOIN orders o ON c.customerNumber = o.customerNumber JOIN orderdetails od ON o.orderNumber = od.orderNumber GROUP BY o.officeCode;"
What is the total revenue generated by each sales representative?,"SELECT e.employeeNumber, SUM(od.quantityOrdered * od.priceEach) AS total_revenue FROM employees e JOIN customers c ON e.employeeNumber = c.salesRepEmployeeNumber JOIN orders o ON c.customerNumber = o.customerNumber JOIN orderdetails od ON o.orderNumber = od.orderNumber GROUP BY e.employeeNumber;"
What is the average order size for each customer?,"SELECT customerNumber, AVG(order_size) AS avg_order_size FROM (SELECT o.customerNumber, SUM(od.quantityOrdered) AS order_size FROM orders o JOIN orderdetails od ON o.orderNumber = od.orderNumber GROUP BY o.orderNumber) AS order_sizes GROUP BY customerNumber;"
What is the total number of employees in each office?,"SELECT officeCode, COUNT(*) AS total_employees FROM employees GROUP BY officeCode;"
What is the average salary of employees in each office?,"SELECT officeCode, AVG(salary) AS avg_salary FROM employees GROUP BY officeCode;"
What is the total number of products sold by each sales representative?,"SELECT e.employeeNumber, SUM(od.quantityOrdered) AS total_products_sold FROM employees e JOIN customers c ON e.employeeNumber = c.salesRepEmployeeNumber JOIN orders o ON c.customerNumber = o.customerNumber JOIN orderdetails od ON o.orderNumber = od.orderNumber GROUP BY e.employeeNumber;"
What is the average number of products sold per order?,SELECT AVG(total_products) AS avg_products_per_order FROM (SELECT SUM(quantityOrdered) AS total_products FROM orderdetails GROUP BY orderNumber) AS order_totals;
What is the total value of products sold by each product line?,"SELECT p.productLine, SUM(od.quantityOrdered * od.priceEach) AS total_value FROM products p JOIN orderdetails od ON p.productCode = od.productCode GROUP BY p.productLine;"
What is the total number of products in stock for each vendor?,"SELECT productVendor, SUM(quantityInStock) AS total_stock FROM products GROUP BY productVendor;"
What is the total value of products in stock for each vendor?,"SELECT productVendor, SUM(quantityInStock * buyPrice) AS total_value FROM products GROUP BY productVendor;"
What is the total number of employees managed by each manager?,"SELECT reportsTo, COUNT(*) AS total_employees FROM employees WHERE reportsTo IS NOT NULL GROUP BY reportsTo;"
What is the average credit limit of customers for each sales representative?,"SELECT salesRepEmployeeNumber, AVG(creditLimit) AS avg_credit_limit FROM customers GROUP BY salesRepEmployeeNumber;"
What is the total number of orders shipped by each sales representative?,"SELECT e.employeeNumber, COUNT(*) AS total_orders FROM employees e JOIN customers c ON e.employeeNumber = c.salesRepEmployeeNumber JOIN orders o ON c.customerNumber = o.customerNumber WHERE o.shippedDate IS NOT NULL GROUP BY e.employeeNumber;"
What is the total revenue generated by each customer?,"SELECT customerNumber, SUM(od.quantityOrdered * od.priceEach) AS total_revenue FROM orders o JOIN orderdetails od ON o.orderNumber = od.orderNumber GROUP BY customerNumber;"
What is the average revenue generated by each customer?,"SELECT customerNumber, AVG(total_revenue) AS avg_revenue FROM (SELECT customerNumber, SUM(quantityOrdered * priceEach) AS total_revenue FROM orders o JOIN orderdetails od ON o.orderNumber = od.orderNumber GROUP BY o.orderNumber) AS customer_revenues GROUP BY customerNumber;"
What is the total number of payments made by each customer?,"SELECT customerNumber, COUNT(*) AS total_payments FROM payments GROUP BY customerNumber;"
What is the average payment amount for each sales representative's customers?,"SELECT e.employeeNumber, AVG(p.amount) AS avg_payment FROM employees e JOIN customers c ON e.employeeNumber = c.salesRepEmployeeNumber JOIN payments p ON c.customerNumber = p.customerNumber GROUP BY e.employeeNumber;"
What is the total revenue generated by each product category?,"SELECT p.productLine, SUM(od.quantityOrdered * od.priceEach) AS total_revenue FROM products p JOIN orderdetails od ON p.productCode = od.productCode GROUP BY p.productLine;"
What is the average number of products in stock per product line?,"SELECT productLine, AVG(quantityInStock) AS avg_stock FROM products GROUP BY productLine;"
What is the total revenue generated by each customer in each product line?,"SELECT c.customerNumber, p.productLine, SUM(od.quantityOrdered * od.priceEach) AS total_revenue FROM customers c JOIN orders o ON c.customerNumber = o.customerNumber JOIN orderdetails od ON o.orderNumber = od.orderNumber JOIN products p ON od.productCode = p.productCode GROUP BY c.customerNumber, p.productLine;"
What is the average order value for each product line?,"SELECT p.productLine, AVG(order_value) AS avg_order_value FROM (SELECT od.productCode, SUM(od.quantityOrdered * od.priceEach) AS order_value FROM orderdetails od GROUP BY od.orderNumber) AS order_values JOIN products p ON order_values.productCode = p.productCode GROUP BY p.productLine;"
What is the total number of orders for each sales representative?,"SELECT e.employeeNumber, COUNT(*) AS total_orders FROM employees e JOIN customers c ON e.employeeNumber = c.salesRepEmployeeNumber JOIN orders o ON c.customerNumber = o.customerNumber GROUP BY e.employeeNumber;"
What is the total number of orders for each office?,"SELECT o.officeCode, COUNT(*) AS total_orders FROM offices o JOIN employees e ON o.officeCode = e.officeCode JOIN customers c ON e.employeeNumber = c.salesRepEmployeeNumber JOIN orders o2 ON c.customerNumber = o2.customerNumber GROUP BY o.officeCode;"
What is the average order value for each sales representative?,"SELECT e.employeeNumber, AVG(order_value) AS avg_order_value FROM (SELECT o.customerNumber, SUM(od.quantityOrdered * od.priceEach) AS order_value FROM orders o JOIN orderdetails od ON o.orderNumber = od.orderNumber GROUP BY o.orderNumber) AS order_values JOIN customers c ON order_values.customerNumber = c.customerNumber JOIN employees e ON c.salesRepEmployeeNumber = e.employeeNumber GROUP BY e.employeeNumber;"
What is the total value of all orders placed by each customer?,"SELECT customerNumber, SUM(quantityOrdered * priceEach) AS total_order_value FROM orders o JOIN orderdetails od ON o.orderNumber = od.orderNumber GROUP BY customerNumber;"
What is the average number of products per order for each sales representative?,"SELECT e.employeeNumber, AVG(products_per_order) AS avg_products_per_order FROM (SELECT o.customerNumber, SUM(od.quantityOrdered) AS products_per_order FROM orders o JOIN orderdetails od ON o.orderNumber = od.orderNumber GROUP BY o.orderNumber) AS order_products JOIN customers c ON order_products.customerNumber = c.customerNumber JOIN employees e ON c.salesRepEmployeeNumber = e.employeeNumber GROUP BY e.employeeNumber;"
What is the total revenue generated by each sales representative's customers?,"SELECT e.employeeNumber, SUM(od.quantityOrdered * od.priceEach) AS total_revenue FROM employees e JOIN customers c ON e.employeeNumber = c.salesRepEmployeeNumber JOIN orders o ON c.customerNumber = o.customerNumber JOIN orderdetails od ON o.orderNumber = od.orderNumber GROUP BY e.employeeNumber;"
What is the total number of orders shipped by each sales representative's customers?,"SELECT e.employeeNumber, COUNT(*) AS total_shipped_orders FROM employees e JOIN customers c ON e.employeeNumber = c.salesRepEmployeeNumber JOIN orders o ON c.customerNumber = o.customerNumber WHERE o.shippedDate IS NOT NULL GROUP BY e.employeeNumber;"
What is the average payment amount for each customer by product line?,"SELECT c.customerNumber, p.productLine, AVG(pmt.amount) AS avg_payment FROM customers c JOIN orders o ON c.customerNumber = o.customerNumber JOIN orderdetails od ON o.orderNumber = od.orderNumber JOIN products p ON od.productCode = p.productCode JOIN payments pmt ON c.customerNumber = pmt.customerNumber GROUP BY c.customerNumber, p.productLine;"
What is the total value of payments received from each customer by product line?,"SELECT c.customerNumber, p.productLine, SUM(pmt.amount) AS total_payment FROM customers c JOIN orders o ON c.customerNumber = o.customerNumber JOIN orderdetails od ON o.orderNumber = od.orderNumber JOIN products p ON od.productCode = p.productCode JOIN payments pmt ON c.customerNumber = pmt.customerNumber GROUP BY c.customerNumber, p.productLine;"
What is the average number of products per order by product line?,"SELECT p.productLine, AVG(quantityOrdered) AS avg_products_per_order FROM products p JOIN orderdetails od ON p.productCode = od.productCode GROUP BY p.productLine;"
What is the total number of orders placed by customers in each office?,"SELECT o.officeCode, COUNT(*) AS total_orders FROM offices o JOIN employees e ON o.officeCode = e.officeCode JOIN customers c ON e.employeeNumber = c.salesRepEmployeeNumber JOIN orders o2 ON c.customerNumber = o2.customerNumber GROUP BY o.officeCode;"
What is the total number of products in stock for each office?,"SELECT o.officeCode, SUM(p.quantityInStock) AS total_stock FROM offices o JOIN employees e ON o.officeCode = e.officeCode JOIN customers c ON e.employeeNumber = c.salesRepEmployeeNumber JOIN orders o2 ON c.customerNumber = o2.customerNumber JOIN orderdetails od ON o2.orderNumber = od.orderNumber JOIN products p ON od.productCode = p.productCode GROUP BY o.officeCode;"
What is the average number of orders per customer for each sales representative?,"SELECT e.employeeNumber, AVG(total_orders) AS avg_orders_per_customer FROM (SELECT customerNumber, COUNT(*) AS total_orders FROM orders GROUP BY customerNumber) AS customer_orders JOIN customers c ON customer_orders.customerNumber = c.customerNumber JOIN employees e ON c.salesRepEmployeeNumber = e.employeeNumber GROUP BY e.employeeNumber;"
What is the average number of products ordered per customer for each sales representative?,"SELECT e.employeeNumber, AVG(total_products) AS avg_products_per_customer FROM (SELECT customerNumber, SUM(quantityOrdered) AS total_products FROM orders o JOIN orderdetails od ON o.orderNumber = od.orderNumber GROUP BY customerNumber) AS customer_products JOIN customers c ON customer_products.customerNumber = c.customerNumber JOIN employees e ON c.salesRepEmployeeNumber = e.employeeNumber GROUP BY e.employeeNumber;"
What is the total number of orders placed by each customer by product line?,"SELECT c.customerNumber, p.productLine, COUNT(*) AS total_orders FROM customers c JOIN orders o ON c.customerNumber = o.customerNumber JOIN orderdetails od ON o.orderNumber = od.orderNumber JOIN products p ON od.productCode = p.productCode GROUP BY c.customerNumber, p.productLine;"
What is the average value of orders placed by each customer by product line?,"SELECT c.customerNumber, p.productLine, AVG(order_value) AS avg_order_value FROM (SELECT o.customerNumber, SUM(od.quantityOrdered * od.priceEach) AS order_value FROM orders o JOIN orderdetails od ON o.orderNumber = od.orderNumber GROUP BY o.orderNumber) AS customer_orders JOIN customers c ON customer_orders.customerNumber = c.customerNumber JOIN products p ON customer_orders.productCode = p.productCode GROUP BY c.customerNumber, p.productLine;"
What is the total number of employees in each office by job title?,"SELECT o.officeCode, e.jobTitle, COUNT(*) AS total_employees FROM offices o JOIN employees e ON o.officeCode = e.officeCode GROUP BY o.officeCode, e.jobTitle;"
What is the average salary of employees in each office by job title?,"SELECT o.officeCode, e.jobTitle, AVG(e.salary) AS avg_salary FROM offices o JOIN employees e ON o.officeCode = e.officeCode GROUP BY o.officeCode, e.jobTitle;"
What is the total number of products sold in each product line by office?,"SELECT o.officeCode, p.productLine, SUM(od.quantityOrdered) AS total_products FROM offices o JOIN employees e ON o.officeCode = e.officeCode JOIN customers c ON e.employeeNumber = c.salesRepEmployeeNumber JOIN orders o2 ON c.customerNumber = o2.customerNumber JOIN orderdetails od ON o2.orderNumber = od.orderNumber JOIN products p ON od.productCode = p.productCode GROUP BY o.officeCode, p.productLine;"
What is the total revenue generated by each product line by office?,"SELECT o.officeCode, p.productLine, SUM(od.quantityOrdered * od.priceEach) AS total_revenue FROM offices o JOIN employees e ON o.officeCode = e.officeCode JOIN customers c ON e.employeeNumber = c.salesRepEmployeeNumber JOIN orders o2 ON c.customerNumber = o2.customerNumber JOIN orderdetails od ON o2.orderNumber = od.orderNumber JOIN products p ON od.productCode = p.productCode GROUP BY o.officeCode, p.productLine;"
What is the total number of orders placed by customers in each product line by office?,"SELECT o.officeCode, p.productLine, COUNT(*) AS total_orders FROM offices o JOIN employees e ON o.officeCode = e.officeCode JOIN customers c ON e.employeeNumber = c.salesRepEmployeeNumber JOIN orders o2 ON c.customerNumber = o2.customerNumber JOIN orderdetails od ON o2.orderNumber = od.orderNumber JOIN products p ON od.productCode = p.productCode GROUP BY o.officeCode, p.productLine;"
What is the total number of employees reporting to each manager by job title?,"SELECT e.reportsTo, e.jobTitle, COUNT(*) AS total_employees FROM employees e GROUP BY e.reportsTo, e.jobTitle;"
What is the total number of orders placed by customers in each office by product line?,"SELECT o.officeCode, p.productLine, COUNT(*) AS total_orders FROM offices o JOIN employees e ON o.officeCode = e.officeCode JOIN customers c ON e.employeeNumber = c.salesRepEmployeeNumber JOIN orders o2 ON c.customerNumber = o2.customerNumber JOIN orderdetails od ON o2.orderNumber = od.orderNumber JOIN products p ON od.productCode = p.productCode GROUP BY o.officeCode, p.productLine;"
What is the total revenue generated by each product line by sales representative?,"SELECT e.employeeNumber, p.productLine, SUM(od.quantityOrdered * od.priceEach) AS total_revenue FROM employees e JOIN customers c ON e.employeeNumber = c.salesRepEmployeeNumber JOIN orders o ON c.customerNumber = o.customerNumber JOIN orderdetails od ON o.orderNumber = od.orderNumber JOIN products p ON od.productCode = p.productCode GROUP BY e.employeeNumber, p.productLine;"
What is the total number of products in stock for each product line by office?,"SELECT o.officeCode, p.productLine, SUM(p.quantityInStock) AS total_stock FROM offices o JOIN employees e ON o.officeCode = e.officeCode JOIN customers c ON e.employeeNumber = c.salesRepEmployeeNumber JOIN orders o2 ON c.customerNumber = o2.customerNumber JOIN orderdetails od ON o2.orderNumber = od.orderNumber JOIN products p ON od.productCode = p.productCode GROUP BY o.officeCode, p.productLine;"
What is the total number of orders placed by customers in each office by sales representative?,"SELECT o.officeCode, e.employeeNumber, COUNT(*) AS total_orders FROM offices o JOIN employees e ON o.officeCode = e.officeCode JOIN customers c ON e.employeeNumber = c.salesRepEmployeeNumber JOIN orders o2 ON c.customerNumber = o2.customerNumber GROUP BY o.officeCode, e.employeeNumber;"
What is the total revenue generated by each customer by product line?,"SELECT c.customerNumber, p.productLine, SUM(od.quantityOrdered * od.priceEach) AS total_revenue FROM customers c JOIN orders o ON c.customerNumber = o.customerNumber JOIN orderdetails od ON o.orderNumber = od.orderNumber JOIN products p ON od.productCode = p.productCode GROUP BY c.customerNumber, p.productLine;"
What is the average order value for each product line?,"SELECT p.productLine, AVG(order_value) AS avg_order_value FROM (SELECT od.productCode, SUM(od.quantityOrdered * od.priceEach) AS order_value FROM orderdetails od GROUP BY od.orderNumber) AS order_values JOIN products p ON order_values.productCode = p.productCode GROUP BY p.productLine;"
What is the total number of orders for each sales representative?,"SELECT e.employeeNumber, COUNT(*) AS total_orders FROM employees e JOIN customers c ON e.employeeNumber = c.salesRepEmployeeNumber JOIN orders o ON c.customerNumber = o.customerNumber GROUP BY e.employeeNumber;"
What is the total number of orders for each office?,"SELECT o.officeCode, COUNT(*) AS total_orders FROM offices o JOIN employees e ON o.officeCode = e.officeCode JOIN customers c ON e.employeeNumber = c.salesRepEmployeeNumber JOIN orders o2 ON c.customerNumber = o2.customerNumber GROUP BY o.officeCode;"
